year,county,state,povrate,wagesal_percap,trans_gov_pc,trans_medicare_pc,oldfrac,totalpop,trans_medicaid_pc,unemprate
2012,"Oldham County, KY",21,6.7,9.3657923,5.2061996,1.3004634,0.10541824,62105,0.56942165,5.9
2019,"Oldham County, KY",21,4.9,11.905786,6.2115436,1.5758864,0.13666372,66799,0.84620959,3.3
2006,"Jefferson County, KY",21,14.9,32.123959,6.8879218,1.7510262,0.13177253,715149,1.165159,5.7
2011,"Spencer County, KY",21,8.4,3.5743692,6.7071919,1.6391802,0.10918356,17466,0.87385833,9.1
2019,"Spencer County, KY",21,7.3,4.0781679,7.6380243,2.0279629,0.14562555,19351,1.2033128,3.6
2009,"Spencer County, KY",21,9.6,3.5420411,6.4963169,1.5264403,0.098697782,16971,0.9224785,10.3
2008,"Shelby County, KY",21,11.5,13.954661,5.8572135,1.4013273,0.11845824,41044,0.62498283,5.7
2010,"Jefferson County, KY",21,17.3,29.388844,8.5528288,2.0121942,0.13377059,742054,1.3327345,10.0
2004,"Oldham County, KY",21,6.3,10.090383,3.6443288,0.74109197,0.073575623,52830,0.62989962,4.0
2019,"Bullitt County, KY",21,7.8,13.286283,8.0623198,2.3498805,0.16181009,81676,0.98852527,4.1
2002,"Oldham County, KY",21,,10.098664,3.3872046,0.60004139,0.070497461,49250,0.61916852,4.0
2011,"Shelby County, KY",21,12.7,12.40662,6.9306254,1.8515038,0.12380975,42848,0.68132108,7.9
2016,"Spencer County, KY",21,8.8,4.2197104,7.2318602,1.9002112,0.13263525,18336,1.2458758,3.8
2016,"Bullitt County, KY",21,10.4,11.677335,7.7219162,2.1687889,0.14874656,79222,1.0040021,4.2
2015,"Spencer County, KY",21,9.0,4.0639834,7.3128552,1.8545318,0.12832005,18072,1.3515514,4.3
2017,"Bullitt County, KY",21,9.2,12.25753,7.6657162,2.1142712,0.15206368,80269,1.0248789,4.2
2019,"Henry County, KY",21,14.7,7.174449,9.5765028,2.5473397,0.18014386,16126,1.7985673,3.7
2011,"Bullitt County, KY",21,10.8,9.0771055,7.4002581,1.934572,0.11721524,75195,0.70964271,9.9
2017,"Spencer County, KY",21,7.5,4.2413497,7.2686863,1.9076037,0.13641979,18619,1.2706774,3.9
2017,"Henry County, KY",21,15.3,6.9653921,9.2702293,2.4117904,0.17036062,15972,1.8366606,4.1
2015,"Henry County, KY",21,17.7,7.0134029,9.4651728,2.3946185,0.16539228,15563,1.9506934,4.7
2008,"Oldham County, KY",21,5.8,10.137259,4.5744209,0.9930476,0.084176838,59375,0.54561329,5.6
2006,"Bullitt County, KY",21,8.4,7.6605682,5.3841009,1.369825,0.093929358,70042,0.63595772,5.9
2005,"Bullitt County, KY",21,8.9,7.7525749,5.130229,1.1926652,0.090658702,68620,0.67747486,5.7
2002,"Jefferson County, KY",21,,31.302805,6.3812914,1.4314188,0.13308041,699810,1.177359,5.6
2007,"Spencer County, KY",21,7.9,3.7616761,5.208497,1.32506,0.091459684,16346,0.8273735,6.0
2010,"Spencer County, KY",21,9.0,3.5598741,6.950603,1.7223259,0.10417999,17201,0.88267326,9.9
2007,"Jefferson County, KY",21,14.6,32.648293,7.1219916,1.8234985,0.13155565,723040,1.2229371,5.3
2003,"Jefferson County, KY",21,13.3,31.066259,6.405283,1.4821622,0.13240905,703970,1.0945354,6.1
2014,"Shelby County, KY",21,12.8,13.836821,6.8536739,1.8350358,0.1415201,45089,0.9175064,5.0
2005,"Jefferson County, KY",21,13.6,31.819038,6.7753606,1.582821,0.13169807,710018,1.2268783,5.9
2013,"Henry County, KY",21,15.4,7.2328744,8.395442,2.1807542,0.15493779,15432,1.2224933,7.2
2012,"Bullitt County, KY",21,10.8,9.6453123,7.1345143,1.9466799,0.12514822,75902,0.67556459,8.1
2008,"Bullitt County, KY",21,9.4,8.9992647,6.3187966,1.5484815,0.10299981,72738,0.64270288,7.0
2017,"Shelby County, KY",21,10.8,14.96857,6.9760885,1.8410708,0.15164481,47209,0.96787107,3.6
2016,"Henry County, KY",21,18.5,6.8604546,9.2583351,2.403188,0.16641405,15834,1.7973914,4.1
2018,"Henry County, KY",21,14.3,7.0943108,9.3766699,2.4934535,0.1738995,16061,1.8143864,3.8
2004,"Bullitt County, KY",21,10.4,7.5461345,4.9106956,1.045815,0.086708397,66937,0.71499676,5.0
2005,"Henry County, KY",21,15.0,8.8525419,6.3384557,1.6553979,0.1280583,15368,1.0737963,5.7
2018,"Oldham County, KY",21,5.6,11.448485,5.9868741,1.5304737,0.13151011,66512,0.85642719,3.3
2008,"Henry County, KY",21,16.4,8.214612,7.6042624,2.1218712,0.13835342,15511,1.067982,6.2
2014,"Spencer County, KY",21,8.8,3.8997331,7.1092753,1.8397874,0.12372986,17813,1.2140507,5.3
2019,"Shelby County, KY",21,9.4,14.53339,7.1825242,1.9545317,0.15816742,49024,0.91615963,3.4
2017,"Jefferson County, KY",21,14.1,34.456482,9.0049105,2.1604514,0.15669733,769828,2.019249,4.4
2003,"Oldham County, KY",21,5.8,9.9293594,3.4286203,0.6589402,0.072754212,51296,0.55579108,4.4
2014,"Henry County, KY",21,18.3,7.0511155,8.8938751,2.3071547,0.1604168,15547,1.7184491,5.8
2018,"Jefferson County, KY",21,15.4,34.902706,9.0983305,2.2309377,0.16141367,768101,2.0089734,4.0
2003,"Bullitt County, KY",21,9.5,6.8442545,4.4145393,0.75879318,0.083581768,65074,0.62581033,5.6
2010,"Henry County, KY",21,17.1,7.574501,8.6420441,2.2055113,0.14314516,15376,1.2207154,9.9
2010,"Oldham County, KY",21,7.7,9.5723228,5.3706765,1.2149571,0.093072124,60437,0.60691303,7.5
2004,"Jefferson County, KY",21,14.8,32.009857,6.6706352,1.5055662,0.1313884,706828,1.2692804,5.3
2013,"Jefferson County, KY",21,16.1,30.361046,8.1185694,1.9816096,0.14143758,759183,1.3082179,7.5
2003,"Spencer County, KY",21,8.3,4.044661,4.2330303,0.80735433,0.083213359,13892,0.84670234,4.5
2006,"Spencer County, KY",21,8.8,3.8686464,4.8522139,1.1317291,0.089973144,15638,0.81535864,6.0
2013,"Spencer County, KY",21,9.3,3.7785268,6.4575133,1.5775936,0.11918769,17678,0.86359161,6.4
2009,"Shelby County, KY",21,12.4,13.156461,6.7027411,1.7013289,0.11939581,41576,0.72233582,9.4
2010,"Shelby County, KY",21,12.1,12.350657,6.907711,1.7318382,0.12107421,42189,0.68841416,8.9
2007,"Oldham County, KY",21,6.0,10.436322,4.0714087,0.96417272,0.080029659,57991,0.56556141,4.8
2016,"Oldham County, KY",21,5.9,11.120754,5.7463698,1.3896599,0.12355909,65410,0.84797668,3.4
2014,"Oldham County, KY",21,5.5,9.9626245,5.5345678,1.3612659,0.11583736,63969,0.81965053,4.7
2015,"Shelby County, KY",21,11.5,14.630011,7.0791178,1.8862383,0.14359972,45787,1.0322061,4.0
2011,"Henry County, KY",21,18.7,7.52843,8.7393656,2.446044,0.14569105,15375,1.2269312,8.8
2002,"Spencer County, KY",21,,4.0286369,4.416688,0.93957961,0.085936911,13219,0.95119733,4.2
2017,"Oldham County, KY",21,5.1,11.338948,5.8237548,1.4486383,0.12634283,66557,0.86375099,3.5
2012,"Jefferson County, KY",21,18.2,30.459084,8.1465368,2.0046396,0.13850982,751629,1.2686063,7.9
2009,"Bullitt County, KY",21,10.7,8.5037613,6.9586844,1.661409,0.10765768,73743,0.74224246,10.8
2004,"Spencer County, KY",21,9.3,3.9293847,4.7610698,1.1159756,0.088243484,14358,0.95524591,4.6
2014,"Bullitt County, KY",21,12.3,10.129731,7.3172684,1.9562069,0.13639568,78023,0.96378291,5.8
2002,"Henry County, KY",21,,8.112545,5.6047807,1.2610983,0.12437943,15107,1.0281029,4.4
2018,"Spencer County, KY",21,7.3,4.0423126,7.4386296,1.9802035,0.14115977,19021,1.235405,3.6
2016,"Shelby County, KY",21,11.5,15.02384,6.9738274,1.8666499,0.14713843,46548,0.94811279,3.6
2006,"Shelby County, KY",21,10.9,15.072268,5.0656958,1.3342739,0.11152407,39283,0.6226362,5.2
2012,"Ohio County, KY",21,19.5,10.132921,9.2032595,2.2544007,0.15973523,24021,1.5642543,8.7
2006,"Hancock County, KY",21,12.4,30.867277,6.3319001,1.7227895,0.13018028,8542,0.77888954,5.9
2003,"Muhlenberg County, KY",21,17.3,11.872437,7.4206381,1.6873587,0.15452071,31588,1.1738019,8.0
2009,"McLean County, KY",21,16.4,5.957376,9.5988894,2.5767605,0.16673636,9566,1.5097229,10.5
2015,"Muhlenberg County, KY",21,19.4,14.300821,10.876808,2.671849,0.18322931,31245,2.4406188,7.2
2009,"Hancock County, KY",21,13.2,26.27474,8.2042885,2.0799661,0.13963543,8558,0.95471209,11.7
2017,"Daviess County, KY",21,16.1,20.046156,10.000339,2.4723105,0.16621375,100461,2.3116965,4.4
2019,"McLean County, KY",21,14.0,8.5945034,11.484751,3.1916125,0.19963072,9207,2.3259497,4.4
2019,"Ohio County, KY",21,15.6,12.162992,11.074575,2.9012704,0.18100359,23994,2.4835987,5.1
2004,"McLean County, KY",21,14.9,6.1214957,6.7479959,1.4300767,0.14774922,9841,1.2843111,6.5
2017,"Hancock County, KY",21,12.2,30.198954,9.1134758,2.450717,0.16712235,8778,1.4108809,5.1
2014,"Daviess County, KY",21,15.0,18.951944,9.6548395,2.3357551,0.15945591,98441,2.1430264,5.7
2009,"Daviess County, KY",21,15.2,18.565224,9.1179161,2.2441611,0.14499122,96261,1.5864654,9.3
2008,"Ohio County, KY",21,19.1,10.820737,8.5248928,2.0333803,0.14984392,24025,1.4296824,6.4
2016,"Hancock County, KY",21,12.6,33.396046,9.0321493,2.2882259,0.16680041,8723,1.3666282,5.4
2011,"Ohio County, KY",21,22.6,9.7922297,9.573494,2.3701112,0.15563895,23985,1.6317931,9.9
2015,"Ohio County, KY",21,19.9,11.0693,10.642085,2.4871657,0.17018442,24021,2.6132898,6.4
2013,"Daviess County, KY",21,15.3,18.486994,9.008893,2.2481024,0.15652023,98294,1.5088084,6.9
2010,"Hancock County, KY",21,14.2,26.991463,8.2414637,1.9472483,0.13986668,8551,0.92499542,10.3
2004,"Muhlenberg County, KY",21,19.0,11.725671,7.879714,1.8864397,0.15470505,31615,1.3587557,7.5
2015,"McLean County, KY",21,17.3,7.4124713,10.704406,2.5955274,0.18265034,9395,2.3909233,4.9
2003,"Hancock County, KY",21,11.1,30.910576,5.3200788,1.0952309,0.11535723,8426,0.75310022,7.0
2019,"Daviess County, KY",21,15.4,19.833197,10.224405,2.6331279,0.17285812,101511,2.2467246,3.9
2011,"Hancock County, KY",21,12.9,31.207193,8.1482677,2.0433893,0.14170936,8588,0.9259308,8.4
2016,"McLean County, KY",21,17.3,7.8349438,11.032181,3.0645678,0.18614116,9337,2.2457097,4.8
2011,"Muhlenberg County, KY",21,21.1,14.298918,9.7246952,2.3423195,0.1648376,31528,1.5153674,10.3
2014,"Muhlenberg County, KY",21,21.6,14.519293,10.325762,2.5302491,0.1793815,31302,2.157953,7.6
2010,"Ohio County, KY",21,20.4,11.6694,9.6770458,2.277688,0.1544852,23834,1.6335109,11.2
2016,"Daviess County, KY",21,16.4,20.003895,9.9483213,2.4635344,0.16360764,100032,2.2342818,4.5
2011,"Daviess County, KY",21,16.0,18.227131,9.3380527,2.2642453,0.14787102,97159,1.5269589,8.4
2019,"Muhlenberg County, KY",21,18.8,11.576678,11.421625,3.107568,0.19636209,30622,2.3697221,6.2
2013,"Ohio County, KY",21,19.1,10.276503,9.3619432,2.2803552,0.16425443,23975,1.6321225,9.3
2004,"Daviess County, KY",21,14.1,18.690969,6.902617,1.4406253,0.13969105,92769,1.4442437,5.3
2014,"Ohio County, KY",21,19.7,10.54045,10.012627,2.2934175,0.16794722,23948,2.3135619,7.7
2008,"Hancock County, KY",21,13.2,29.206524,7.4289045,2.0546319,0.13388585,8567,0.81446677,5.8
2018,"Daviess County, KY",21,15.3,19.994148,10.031957,2.5353432,0.16941407,100883,2.2803657,4.0
2002,"Daviess County, KY",21,,18.578905,6.5034981,1.3351032,0.13847595,91821,1.3382093,5.5
2006,"Daviess County, KY",21,13.9,18.713671,7.3606,1.8697031,0.14171317,93908,1.3251201,5.3
2003,"Ohio County, KY",21,16.1,9.2895908,6.7355108,1.2630742,0.14141981,23158,1.3076851,7.5
2006,"Ohio County, KY",21,17.7,10.299398,7.6275582,1.8485528,0.14663117,23658,1.3842406,6.0
2013,"Hancock County, KY",21,15.4,34.523746,7.9898572,1.9359465,0.15534431,8626,0.92197233,7.2
2016,"Ohio County, KY",21,20.3,11.034446,10.530077,2.5846934,0.17273781,24158,2.4299819,6.7
2013,"McLean County, KY",21,18.1,6.0847578,9.4905071,2.4391074,0.1789908,9453,1.490783,7.7
2008,"McLean County, KY",21,17.6,6.0369096,8.7153292,2.4451873,0.1641683,9673,1.2754604,7.1
2010,"Daviess County, KY",21,16.2,18.275795,9.4401598,2.1827054,0.14633314,96704,1.5270479,9.3
2003,"Daviess County, KY",21,13.0,18.453362,6.5037355,1.3491316,0.13887537,92457,1.2388384,6.0
2012,"Daviess County, KY",21,16.7,18.463758,8.9823999,2.24213,0.15257563,97840,1.4552871,7.0
2013,"Muhlenberg County, KY",21,25.1,13.414193,9.7127409,2.4780228,0.17565367,31323,1.525499,9.4
2010,"McLean County, KY",21,16.4,6.1583123,9.718152,2.5225258,0.16910142,9515,1.4716504,10.2
2007,"McLean County, KY",21,16.0,5.9828329,8.0051785,2.2648292,0.15673561,9717,1.283041,5.8
2004,"Ohio County, KY",21,17.7,9.7746477,7.0484252,1.2975835,0.14152311,23452,1.50205,6.2
2008,"Daviess County, KY",21,13.6,19.076254,8.2821007,2.0980444,0.14436491,95411,1.3672251,5.7
2005,"McLean County, KY",21,16.1,6.2397146,7.1445079,1.6838169,0.15278769,9811,1.2513435,7.2
2017,"Muhlenberg County, KY",21,19.4,13.172925,10.971691,2.7891352,0.18907033,30925,2.3902533,7.0
2006,"Muhlenberg County, KY",21,20.0,11.673719,8.3507185,2.1887836,0.15559424,31595,1.2644488,9.1
2018,"Ohio County, KY",21,17.2,12.308265,10.685086,2.6288037,0.17740193,24064,2.5012884,5.7
2015,"Daviess County, KY",21,14.9,19.812559,10.130747,2.4567745,0.16108961,99485,2.4021215,4.6
2007,"Ohio County, KY",21,19.4,10.760013,8.0794125,2.0583112,0.14823064,23794,1.4598718,5.2
2002,"Hancock County, KY",21,,32.394691,5.1680326,1.1037616,0.11170465,8424,0.78505266,6.1
2002,"Muhlenberg County, KY",21,,12.100692,7.3288689,1.5761334,0.15397744,31641,1.2515894,8.0
2009,"Muhlenberg County, KY",21,19.2,11.390038,9.8326998,2.4104438,0.16083162,31505,1.5574119,10.8
2012,"McLean County, KY",21,17.0,5.9612994,9.4053974,2.503072,0.1780822,9490,1.4259506,7.6
2002,"Ohio County, KY",21,,8.8413525,6.6066823,1.1770117,0.14010622,23161,1.3972462,7.0
2017,"McLean County, KY",21,16.4,8.019887,11.03108,2.8795915,0.19270833,9216,2.3582916,5.4
2005,"Ohio County, KY",21,18.9,10.149191,7.2093115,1.4283036,0.14374655,23611,1.4488522,6.5
2007,"Hancock County, KY",21,13.7,29.835154,6.5845909,1.7410866,0.13331771,8536,0.82655233,5.1
2002,"McLean County, KY",21,,5.6411419,6.4562769,1.4155937,0.14238311,9945,1.1603816,6.4
2018,"McLean County, KY",21,13.9,7.8994489,11.044252,2.9221745,0.19529057,9258,2.3269422,5.0
2018,"Hancock County, KY",21,12.0,31.6161,9.3093634,2.5209942,0.17120622,8738,1.4022317,4.2
2015,"Hancock County, KY",21,13.8,36.746567,9.1656761,2.2676287,0.16525865,8641,1.4806331,5.0
2012,"Hancock County, KY",21,14.3,32.506775,7.844882,1.8605291,0.14880815,8642,0.88372964,7.2
2012,"Muhlenberg County, KY",21,19.9,13.306229,9.6612549,2.4647989,0.17108534,31382,1.4621198,9.8
2018,"Muhlenberg County, KY",21,17.4,11.174011,11.041417,2.8630638,0.19233391,30811,2.3750644,6.7
2019,"Hancock County, KY",21,12.2,32.60667,9.5797539,2.6258318,0.17667966,8722,1.3957653,3.8
2010,"Muhlenberg County, KY",21,21.0,11.286903,9.8422432,2.3357182,0.16233377,31657,1.5005192,10.9
2016,"Muhlenberg County, KY",21,19.6,12.943185,10.81349,2.760601,0.1859069,31150,2.2910244,7.4
2017,"Ohio County, KY",21,17.6,11.030286,10.651406,2.5464225,0.17448996,24116,2.5202801,6.4
2005,"Muhlenberg County, KY",21,19.8,11.36834,7.9602642,1.8790181,0.15394841,31595,1.3204435,8.6
2006,"McLean County, KY",21,17.3,5.9911189,7.6663351,2.0739508,0.15584415,9702,1.211982,7.5
2004,"Hancock County, KY",21,12.1,29.813543,5.6548853,1.2174439,0.12123019,8389,0.85263276,5.8
2009,"Ohio County, KY",21,17.4,11.358361,9.4666491,2.2244024,0.15237777,23888,1.6835279,9.7
2003,"McLean County, KY",21,13.8,5.8722787,6.5036216,1.4121792,0.14494519,9852,1.0962363,7.5
2007,"Muhlenberg County, KY",21,20.0,13.129777,8.6130733,2.2338283,0.15837733,31627,1.3395232,7.9
2014,"Hancock County, KY",21,13.8,34.988644,8.3979053,2.0122373,0.15908305,8681,1.2955616,6.0
2011,"McLean County, KY",21,19.5,6.7412257,9.7066727,2.7059417,0.17101388,9508,1.4813304,8.9
2014,"McLean County, KY",21,16.9,6.7158566,10.234639,2.5460377,0.18092909,9407,2.1138542,6.4
2007,"Daviess County, KY",21,15.3,19.304491,7.7256579,2.0218639,0.14254017,94647,1.3951976,4.8
2005,"Hancock County, KY",21,13.6,28.445444,5.9075494,1.3401622,0.1235308,8508,0.81675953,6.2
2005,"Daviess County, KY",21,14.6,18.770863,7.0950522,1.5780286,0.14096618,93150,1.3965662,5.8
2008,"Muhlenberg County, KY",21,21.4,12.685966,9.154459,2.3453867,0.15991235,31486,1.3310342,8.5
2009,"Franklin County, KY",21,14.0,28.533289,9.2419109,2.5298214,0.13751447,49253,1.0929759,8.9
2003,"Robertson County, KY",21,17.4,4.1095848,6.5099292,1.2890204,0.16803811,2309,1.7960621,5.9
2010,"Anderson County, KY",21,12.8,7.4229159,7.3152719,1.7074376,0.11998137,21470,0.72037661,9.6
2009,"Scott County, KY",21,13.1,25.209728,5.5005226,1.098451,0.091397732,46325,0.66971153,9.6
2006,"Scott County, KY",21,11.0,32.448009,4.3760233,1.0083618,0.088135675,41924,0.60266274,4.7
2010,"Bourbon County, KY",21,17.0,15.039982,8.3183107,2.0494063,0.15236664,19965,1.1367441,9.1
2019,"Fayette County, KY",21,15.4,31.12011,7.1402688,1.7842929,0.13869634,323152,1.2965214,3.3
2012,"Fayette County, KY",21,17.7,28.432302,6.783421,1.4091433,0.11065642,305947,0.85147882,5.8
2012,"Bourbon County, KY",21,18.3,14.9688,7.9338617,1.9387544,0.16114713,20050,1.0923027,7.3
2018,"Woodford County, KY",21,9.4,16.261374,8.2149286,2.2448702,0.18681817,26491,0.84481782,3.1
2017,"Woodford County, KY",21,9.3,16.125118,7.9983315,2.1407394,0.17832102,26385,0.85641706,3.3
2003,"Franklin County, KY",21,11.0,31.77717,6.5283408,1.681477,0.12222775,48246,0.83824533,4.6
2019,"Scott County, KY",21,8.6,26.503675,6.2928181,1.5683875,0.12367553,57004,0.8149808,3.5
2007,"Nicholas County, KY",21,19.4,4.4509754,8.5662088,2.3342388,0.15357693,7143,1.9885873,6.3
2008,"Jessamine County, KY",21,12.1,13.581507,5.7695441,1.2754531,0.10767674,47429,0.64609504,5.5
2006,"Fayette County, KY",21,15.9,30.675386,5.324553,1.1893101,0.10236774,279971,0.8137244,4.3
2016,"Anderson County, KY",21,10.6,8.1606617,7.9451613,2.0320387,0.14947501,22191,1.052013,4.1
2017,"Jessamine County, KY",21,14.7,13.331231,7.1504674,1.8190862,0.14376913,53259,1.0265421,3.8
2011,"Anderson County, KY",21,10.8,7.5732765,7.1829619,1.6673355,0.12182341,21564,0.72132772,8.3
2012,"Woodford County, KY",21,10.5,15.927308,6.9838667,1.7861629,0.14344867,25117,0.55372328,5.4
2006,"Harrison County, KY",21,14.8,11.190389,6.3938079,1.6209458,0.14299627,18483,0.96276158,5.4
2010,"Harrison County, KY",21,16.6,10.686051,8.2821627,1.8798194,0.14981394,18810,1.1251613,11.1
2004,"Fayette County, KY",21,14.2,30.739321,5.2001567,0.96201259,0.099865258,272377,0.90077358,4.1
2010,"Robertson County, KY",21,22.6,4.1447825,9.6518087,2.130197,0.18813187,2275,2.3550236,11.6
2019,"Jessamine County, KY",21,11.0,13.459962,7.4516225,1.9243189,0.15524346,54115,0.99179202,3.6
2009,"Fayette County, KY",21,17.4,29.270203,6.7204232,1.3500657,0.10494883,292514,0.95571464,7.8
2005,"Fayette County, KY",21,14.7,30.446238,5.2317109,1.0156397,0.10102344,275540,0.86451197,4.5
2005,"Robertson County, KY",21,22.4,4.3768821,7.4418879,1.6292387,0.17147934,2251,2.0970793,7.0
2006,"Woodford County, KY",21,8.3,19.849607,5.2441211,1.3104087,0.11618464,24134,0.50168478,4.2
2003,"Bourbon County, KY",21,13.6,14.799419,5.7540579,1.2833327,0.13944691,19563,0.89864033,5.7
2017,"Fayette County, KY",21,16.5,30.841753,6.8136706,1.6009037,0.12886223,321964,1.3286073,3.6
2014,"Jessamine County, KY",21,14.7,12.643378,6.8672481,1.6213217,0.13219713,50871,0.96964657,5.2
2015,"Fayette County, KY",21,19.1,30.590839,7.3538656,1.5550368,0.12156963,315819,1.3985505,3.8
2011,"Woodford County, KY",21,11.0,16.080315,7.2108254,1.7677263,0.13502245,24944,0.58041513,6.5
2008,"Robertson County, KY",21,23.0,4.2342176,8.8806162,2.2781327,0.17605634,2272,2.0836887,6.1
2018,"Fayette County, KY",21,14.6,30.46752,6.9087009,1.6608205,0.13358104,322426,1.3129668,3.3
2017,"Robertson County, KY",21,21.1,4.5237422,11.165021,2.4936531,0.21367924,2120,3.9402914,6.2
2003,"Scott County, KY",21,10.0,35.728813,4.0125804,0.73806167,0.086533748,36714,0.63726306,5.4
2008,"Anderson County, KY",21,9.7,8.3234282,6.3530588,1.5603327,0.11788695,21088,0.64718807,6.4
2013,"Fayette County, KY",21,19.0,28.47286,6.7957072,1.428634,0.11403353,309865,0.87565172,5.8
2012,"Scott County, KY",21,10.9,25.189234,5.5818772,1.2688231,0.099754952,48970,0.59191918,6.5
2002,"Harrison County, KY",21,,11.413623,5.6424732,1.1934112,0.13443278,18009,0.97412938,5.5
2007,"Franklin County, KY",21,13.6,31.370447,7.7517085,2.3863497,0.12995183,48795,0.95410717,4.5
2014,"Fayette County, KY",21,19.8,28.925728,7.1417074,1.5074768,0.11829985,311784,1.2394452,4.8
2007,"Scott County, KY",21,9.4,30.651489,4.616004,1.1211127,0.089765698,43491,0.61622304,4.4
2017,"Nicholas County, KY",21,18.8,4.316927,11.204685,2.4923313,0.16871509,7160,3.478667,5.6
2019,"Nicholas County, KY",21,17.3,4.0723658,11.420194,2.767931,0.17031229,7269,3.3839438,4.4
2008,"Fayette County, KY",21,15.4,30.430996,6.1217985,1.3257781,0.10448306,287683,0.83003145,4.8
2011,"Fayette County, KY",21,17.7,28.757877,7.0738459,1.4271144,0.10652445,301696,0.89993125,6.9
2015,"Anderson County, KY",21,10.7,8.1154699,7.9499412,1.9676708,0.14571168,21920,1.1407886,4.1
2004,"Woodford County, KY",21,9.6,19.660805,4.8780694,1.0537395,0.1127242,23695,0.54939222,3.7
2015,"Robertson County, KY",21,22.5,4.0975194,11.925311,2.8277013,0.21555763,2134,4.0411692,6.5
2013,"Robertson County, KY",21,23.4,3.9509513,9.6938562,2.2721536,0.21093044,2214,2.431428,11.0
